,hotel_address,lat,lng,lat_lng
122,Savoyenstra e 2 16 Ottakring 1160 Vienna Austria,True,True,"(Decimal('16.297308'), Decimal('48.211783'))"
566,23 Rue Damr mont 18th arr 75018 Paris France,True,True,"(Decimal('2.351556'), Decimal('48.856663'))"
724,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,True,True,"(Decimal('16.347119'), Decimal('48.210918'))"
754,W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,True,True,"(Decimal('16.357513'), Decimal('48.222139'))"
1137,4 rue de la P pini re 8th arr 75008 Paris France,True,True,"(Decimal('2.351556'), Decimal('48.856663'))"
1189,Sieveringer Stra e 4 19 D bling 1190 Vienna Austria,True,True,"(Decimal('16.341397'), Decimal('48.245935'))"
1193,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,True,True,"(Decimal('16.39411'), Decimal('48.218213'))"
1568,Bail n 4 6 Eixample 08010 Barcelona Spain,True,True,"(Decimal('1.655829'), Decimal('41.396133'))"
1573,W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,True,True,"(Decimal('16.357513'), Decimal('48.222139'))"
1618,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,True,True,"(Decimal('16.39411'), Decimal('48.218213'))"
1758,Gr nentorgasse 30 09 Alsergrund 1090 Vienna Austria,True,True,"(Decimal('16.357513'), Decimal('48.222139'))"
1836,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,True,True,"(Decimal('16.39411'), Decimal('48.218213'))"
2026,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,True,True,"(Decimal('16.39411'), Decimal('48.218213'))"
2061,Sieveringer Stra e 4 19 D bling 1190 Vienna Austria,True,True,"(Decimal('16.341397'), Decimal('48.245935'))"
2485,23 Rue Damr mont 18th arr 75018 Paris France,True,True,"(Decimal('2.351556'), Decimal('48.856663'))"
2934,Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,True,True,"(Decimal('16.347119'), Decimal('48.210918'))"
2998,Landstra er G rtel 5 03 Landstra e 1030 Vienna Austria,True,True,"(Decimal('16.36346'), Decimal('48.206487'))"
3073,Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,True,True,"(Decimal('16.39411'), Decimal('48.218213'))"
